"","State.x","FIPS","County.x","Age65AndOlderPct2020","AsianNonHispanicPct2020","BlackNonHispanicPct2020","HispanicPct2020","MultipleRacePct2020","NativeAmericanNonHispanicPct2020","Under18Pct2020","WhiteNonHispanicPct2020","AsianHomelessVetPct","BlackHomelessVetPct","HispanicHomelessVetPct","MultiHomelessVetPct","NativeAmHomelessVetPct"
"2262","OR",41029,"Jackson",22.35564972,1.474968534,0.705010772,13.61602444,10.99978052,0.795040737,20.25763799,76.24866187,0.00242939568782265,0.0648030495552732,0.00266456133425442,0.00350191383663165,0.036056338028169
"2263","OR",41031,"Jefferson",19.56983103,0.534650233,0.546894131,20.41466003,9.84001306,12.16635377,22.52469186,61.23989878,0.0610687022900763,0.761194029850746,0.0161935225909636,0.0356698465367068,0.0214693056021469
"2264","OR",41033,"Josephine",26.21750482,0.987626291,0.417754569,7.988420933,9.140651606,1.002383926,18.55034624,82.56328755,0.00919540229885057,0.277173913043478,0.0115105868978258,0.0106805762543467,0.072480181200453
"2265","OR",41035,"Klamath",21.45851642,1.086251855,0.716004207,12.63740222,9.967873453,3.591546252,20.90674657,74.79722818,0.0106100795755968,0.20523138832998,0.00923392612859097,0.0124295418413065,0.0256718812675491
"2266","OR",41037,"Lake",25.53921569,0.637254902,0.600490196,9.828431373,11.06617647,1.397058824,19.06862745,79.75490196,0.153846153846154,2.08163265306122,0.100997506234414,0.0952380952380952,0.56140350877193
"2267","OR",41039,"Lane",19.8855788,2.455538409,1.136378473,9.864976721,10.12922649,0.876045445,18.1460215,77.94506634,0.000850701829008932,0.0234375,0.00214399152991001,0.00221695194885543,0.0190760059612519
"2268","OR",41041,"Lincoln",29.78668519,1.281873202,0.375037206,9.625954956,9.691437643,3.018156563,15.90435559,78.3768231,0.0123839009287926,0.53968253968254,0.0166975881261596,0.0176085176085176,0.042077580539119
"2269","OR",41043,"Linn",18.80957935,1.114998834,0.484410232,9.774512091,9.341419796,0.997589612,21.93297566,80.95637975,0.00557880055788006,0.163723916532905,0.0064434014795959,0.00715831529881805,0.0498830865159782
"2270","OR",41045,"Malheur",16.66402711,1.219473568,1.415856324,32.68822654,10.27525261,0.934401824,24.46232302,60.10262583,0.0207792207792208,0.228187919463087,0.00784883720930233,0.0265104808877928,0.216949152542373
"2271","OR",41047,"Marion",15.92796022,2.101641998,1.094761795,27.67691952,12.3025555,0.903098982,24.04544403,61.76283534,0.00110041265474553,0.026934248745709,0.000846041362022143,0.00202081913668727,0.0204865556978233
"2272","OR",41049,"Morrow",16.36303955,0.237978008,0.303627113,40.9322173,13.72066306,0.672903332,27.44132611,54.16051206,0.275862068965517,2.75675675675676,0.0162389735364876,0.0514354066985646,0.780487804878049
"2273","OR",41051,"Multnomah",13.82047219,7.51507184,5.370553869,12.72374753,10.8426495,0.66897384,18.2380296,65.68611821,0.000130548302872063,0.00232913936017172,0.000780700317099265,0.000972696631755152,0.0117323556370302
"2274","OR",41053,"Polk",18.15676003,1.946633422,0.780025848,14.55972001,10.65501584,1.805954274,22.6241808,74.02125056,0.00470035252643948,0.149560117302053,0.00636292223095051,0.00923142979819665,0.0405319822672578
"2275","OR",41055,"Sherman",24.81283422,0.374331551,0,6.363636364,8.342245989,1.016042781,19.35828877,86.09625668,1.14285714285714,Inf,0.680672268907563,0.551282051282051,3.36842105263158
"2276","OR",41057,"Tillamook",26.6630157,1.022270902,0.27747353,10.75575027,9.554581964,0.872581234,18.23658269,80.32128514,0.0285714285714286,1.34210526315789,0.0274949083503055,0.0328620557890715,0.267782426778243
"2277","OR",41059,"Umatilla",15.85638464,0.855448017,0.814236653,28.25101467,11.81017796,3.210739931,24.57945676,62.13300031,0.0116788321167883,0.156441717791411,0.00358058527097516,0.00909379295759755,0.0248930377285103
"2278","OR",41061,"Union",21.01084135,0.824553367,0.553519621,5.142006413,7.840891739,0.836005497,22.20568026,84.26859062,0.037037037037037,0.703448275862069,0.0601336302895323,0.0418695228821811,0.292237442922374
"2279","OR",41063,"Wallowa",29.27885266,0.419429035,0.12176972,3.477202002,6.345555405,0.676498444,18.60370721,89.27073468,0.258064516129032,11.3333333333333,0.315175097276265,0.183368869936034,1.28
"2280","OR",41065,"Wasco",20.61867267,0.929883765,0.4311961,18.81139858,11.23734533,3.685789276,21.36107987,70.12748406,0.032258064516129,0.88695652173913,0.0161451066374327,0.0286953620286954,0.0651068158697864
"2281","OR",41067,"Washington",13.723658,11.39793328,2.125848641,17.92921722,11.74371889,0.402417168,22.55401651,60.83428274,0.000116907788981441,0.00799185144558489,0.000752494379517289,0.00121975434714776,0.0264900662251656
"2282","OR",41069,"Wheeler",36.59545141,0.551343901,0.068917988,5.789110958,8.270158511,1.171605789,16.1268091,86.56099242,1,102,0.964285714285714,0.716666666666667,3.76470588235294
"2283","OR",41071,"Yamhill",17.84593676,1.413824474,0.788139841,16.51751731,10.38042368,1.249512634,21.70958579,73.66368987,0.00525279054497702,0.120141342756184,0.00455235204855842,0.00769093185476659,0.0475482912332838
"2284","PA",42000,"Pennsylvania",18.52052266,3.896682997,10.52841333,8.072284987,5.956332146,0.115575996,20.37386081,73.47256339,9.86827822228889e-06,0.000300223962693338,4.57310537673337e-05,2.06589161299652e-05,0.000532339632685653
"2285","PA",42001,"Adams",20.84408581,0.916689135,1.418364596,7.5010592,5.422139198,0.141547587,20.07375881,86.60882795,0.00525210084033613,0.279022403258656,0.0061617458279846,0.00284141360326763,0.054421768707483
"2286","PA",42003,"Allegheny",19.163059,4.663283698,12.91834656,2.744730836,5.254050527,0.104351748,18.42308117,75.02546822,8.57368222504201e-05,0.00254404100177031,0.00139839766933722,0.000243508964173744,0.00613026819923372
"2287","PA",42005,"Armstrong",22.50983862,0.224228927,0.668110681,0.747429757,3.296317764,0.08694591,18.87794014,95.06086214,0.0340136054421769,0.938356164383562,0.0979591836734694,0.00740397963905599,0.140350877192982
"2288","PA",42007,"Beaver",21.7263621,0.607555807,6.580269298,2.146657551,5.563713105,0.115923075,19.08272152,85.53398924,0.00489236790606654,0.0371307254494534,0.0132927166989754,0.00170958435730313,0.041025641025641
"2289","PA",42009,"Bedford",23.17506358,0.321583959,0.380435925,1.090863232,2.972024297,0.138722492,19.53254724,95.38432436,0.0326797385620915,2.2707182320442,0.092485549132948,0.0113154172560113,0.121212121212121
"2290","PA",42011,"Berks",17.37767839,1.451559873,4.217568422,23.21329885,9.011330328,0.104932039,22.19685717,67.91621293,0.000803212851405623,0.0227235030685022,0.00048216976393772,0.000414025100271704,0.0177777777777778
"2291","PA",42013,"Blair",20.98646822,0.706713781,2.005341063,1.390630343,3.937405351,0.109100975,19.82299588,92.01608832,0.00576036866359447,0.166869671132765,0.0281030444964871,0.0033085194375517,0.0597014925373134
"2292","PA",42015,"Bradford",21.67025197,0.767088565,0.657028032,1.45580069,4.399086164,0.195107309,21.72194707,92.91276869,0.0108695652173913,1.04314720812183,0.0549828178694158,0.00606520090978014,0.0683760683760684
"2293","PA",42017,"Bucks",19.14829445,5.42164575,3.909592321,6.151223903,5.704537088,0.082129743,20.29238807,80.67197906,0.000142641143411406,0.0162598409621395,0.00120693990445059,0.000433815953581693,0.0150659133709981
"2294","PA",42019,"Butler",19.35612062,1.440935576,1.121989234,1.891485991,4.070952659,0.079478538,19.8376367,91.90660756,0.00179083094555874,0.189052437902484,0.0130968622100955,0.00202839756592292,0.051948051948052
"2295","PA",42021,"Cambria",22.97185927,0.572404699,4.244335891,1.846829298,4.257072644,0.071925198,18.79345481,89.44198034,0.00654450261780105,0.0725507502206531,0.01947261663286,0.00281590989088349,0.0833333333333333
"2296","PA",42023,"Cameron",28.43633165,0.637783154,0.263910271,1.891356939,3.694743787,0.17594018,17.50604794,93.93006378,0.172413793103448,34.25,0.558139534883721,0.0952380952380952,1
"2297","PA",42025,"Carbon",21.49840152,0.505027105,1.652535174,5.624797294,4.883473104,0.146720413,19.24199602,88.71025035,0.0152905198776758,0.38411214953271,0.0131795716639209,0.00506008855154965,0.0842105263157895
